ORDERNUMBER,ORDERDATE,ORDERLINENUMBER,QUANTITY,PRICEEACH,SALES,STATUS,PRODUCTLINE,HASMSRP,CODE,CUSTOMER,CITY,STATE,DEALSIZE,ACTIVECUSTOMER
12139,2018-02-24,2,109,210.94,22889.76,Shipped,Poultry,1,10120,COSTCO,Austin,TX,Small,Active
11398,2018-05-07,5,128,172.22,22101.37,Shipped,Poultry,1,10120,COSTCO,Atlanta,GA,Small,Active
14215,2018-07-01,2,129,203.46,26314.01,Shipped,Poultry,1,10120,WALMART,Palm Beach,FL,Medium,Active
12172,2018-08-25,6,165,159.87,26449.19,Shipped,Poultry,1,10120,WALMART,San Antonio,TX,Medium,Active
12563,2018-10-10,14,157,201.44,31677.1,Shipped,Poultry,1,10120,COSTCO,Cape Coral,FL,Medium,Active
13175,2018-10-28,1,151,206.19,31200.01,Shipped,Poultry,1,10120,WALMART,Houston,TX,Medium,Active
13474,2018-11-11,9,145,169.67,24570.14,Shipped,Poultry,1,10120,WALMART,Palm Beach,FL,Small,Active
12595,2018-11-18,1,135,176.4,23759.52,Shipped,Poultry,1,10120,WALMART,Corpus Christi,TX,Medium,Active
12945,2018-12-01,2,147,208.64,30629.74,Shipped,Poultry,1,10120,WALMART,Palm Beach,FL,Small,Active
12011,2019-01-15,14,149,190.75,28366.43,Shipped,Poultry,1,10120,WALMART,Dallas,TX,Medium,Active
11958,2019-02-20,1,159,219.01,34918.06,Shipped,Poultry,1,10120,COSTCO,Corpus Christi,TX,Medium,Active
13824,2019-04-05,7,143,180.97,25928.7,Shipped,Poultry,1,10120,WALMART,Austin,TX,Small,Active
11835,2019-05-18,2,140,219.38,30730.32,Shipped,Poultry,1,10120,WALMART,Palm Beach,FL,Medium,Active
14719,2019-06-28,2,138,215.88,29770.6,Shipped,Poultry,1,10120,WALMART,Austin,TX,Medium,Active
13619,2019-07-23,1,170,167.85,28456.71,Shipped,Poultry,1,10120,COSTCO,Dallas,TX,Medium,Active
14001,2019-08-27,6,153,191.26,29243.17,Shipped,Poultry,1,10120,WALMART,Dallas,TX,Medium,Active
12561,2019-09-30,9,110,192.61,21259.19,Shipped,Poultry,1,10120,WALMART,San Antonio,TX,Small,Active
13078,2019-10-15,5,148,187.05,27776.89,Shipped,Poultry,1,10120,WALMART,Houston,TX,Medium,Active
15133,2019-11-02,1,166,190.54,31538.07,Shipped,Poultry,1,10120,WALMART,San Antonio,TX,Medium,Active
12495,2019-11-15,1,140,186.4,26188.13,Shipped,Poultry,1,10120,COSTCO,Austin,TX,Medium,Active
